policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
6,14072,378,3728,6,1,JEPA beam mp5,task_20260106_040225_149_7ebc1127_e9ac645c
5,16742,629,5055,5,1,JEPA beam mp5,task_20260106_112645_853_8e9e30d7_1d4b934c
10,29410,909,5177,10,2,JEPA beam mp5,task_20260106_123514_994_0154326e_7a42392c
3,5142,332,2694,3,1,LLM-WM vLLM beam mp5,task_20251121_134729_533_464ee3e0_2dcf2712
7,16570,383,3793,7,2,LLM-WM vLLM beam mp5,task_20251125_110309_032_464ee3e0_33f12828
4,6094,148,2169,4,1,LLM-WM vLLM beam mp5,task_20251125_150631_436_e5bf1251_77dd7cbb
5,10135,188,2756,5,2,LLM-WM vLLM beam mp5,task_20251126_054150_897_7ebc1127_60097647
11,23239,432,3512,11,3,LLM-WM vLLM beam mp5,task_20251126_055301_905_8e9e30d7_6aab00b8
6,13256,361,3555,6,2,LLM-WM vLLM beam mp5,task_20251126_070103_077_501bbb2c_7c7c4ea6
7,21849,887,5952,7,2,LLM-WM vLLM beam mp5,task_20251126_122314_557_be6c9105_daf0aae1
10,27352,1229,4949,10,3,LLM-WM vLLM beam mp5,task_20251126_145836_025_be6c9105_3b572b98
6,12893,1242,3921,6,1,LLM-WM vLLM beam mp5,task_20251126_182216_326_66392a82_d3ff64ca
5,7976,132,2135,5,2,LLM-WM vLLM beam mp5,task_20251127_070938_325_b393a327_a40b1f4e
10,27243,917,4223,10,3,LLM-WM vLLM beam mp5,task_20251127_152838_396_99ba2325_8391501f
8,37581,1930,8689,8,2,LLM-WM vLLM beam mp5,task_20251127_173847_074_4d9df647_632c493d
10,32827,1145,5603,10,3,LLM-WM vLLM beam mp5,task_20251128_123025_545_13762b97_ad80b87c
3,2742,46,1094,3,1,LLM-WM vLLM beam mp5,task_20251128_154607_365_1628b966_a730b5cf
10,29570,1017,5393,10,3,LLM-WM vLLM beam mp5,task_20251201_113908_295_e81f6083_e770442c
10,19977,205,3051,10,3,LLM-WM vLLM beam mp5,task_20251203_051113_560_99ba2325_1ff9b6e5
